GRP-DC-C-PERTURBED+ISO+SMALL
1.000000
10.9155531440 0.0000000000 0.0000000000 
0.0000000000 10.9155531440 0.0000000000 
0.0000000000 0.0000000000 10.9155531440 
64
carestian or direct (scaled), only the first letter matters
-346.97382200
GRP-DC-C-PERTURBED+ISO+SMALL
1.000000
10.9164369766 0.0000000000 0.0000000000 
0.0000000000 10.9164369766 0.0000000000 
0.0000000000 0.0000000000 10.9164369766 
64
carestian or direct (scaled), only the first letter matters
0.0123096560 -0.0042156451 -0.0127731860	-0.21032867 -0.03489091 0.16785631
2.7385250212 2.7402991009 0.0176319842	-0.05375120 -0.19239070 -0.18537841
0.0031876047 2.7428588518 2.7199989189	-0.05580994 -0.28441586 0.03719703
2.7376068820 -0.0007744126 2.7311484792	-0.17772486 0.15663265 -0.05084542
1.3501584523 1.3510920255 1.3501023906	0.25588584 0.21427497 0.20132308
4.1063170422 4.1016284482 1.3718179795	0.02772608 -0.11403494 0.04493245
1.3511361078 4.0854908381 4.0952201808	0.05062814 0.15876637 -0.02379694
4.1039954890 1.3575190611 4.0914827291	-0.14301863 0.08556514 0.07565352
-0.0158674202 0.0053410934 5.4514021380	0.10198602 -0.12615414 0.15469813
2.7212828125 2.7311765734 5.4419397816	0.09072917 -0.10423454 0.08706704
-0.0043735453 2.7395525408 8.1945330562	-0.06520285 -0.17268366 -0.15349483
2.7142666824 -0.0094473973 8.1814496179	-0.04802176 0.15132918 0.00033228
1.3546440281 1.3711132883 6.8130296951	-0.00827990 -0.04797526 0.07231906
4.0958273154 4.0861884964 6.8099321542	-0.09747245 0.05633592 0.04079232
1.3714044111 4.0790975158 9.5390327194	-0.03428791 0.20511983 0.33130107
4.0777673496 1.3570366382 9.5348234100	0.09989586 0.07619125 0.20318707
0.0146125844 5.4647246559 0.0177499038	-0.11227941 -0.22576716 -0.27158128
2.7209574001 8.1922275293 -0.0005565824	0.18170941 0.03122647 -0.04554550
-0.0067634435 8.1909868740 2.7180064351	0.21668430 -0.05813166 0.07228257
2.7184625797 5.4415050664 2.7306091816	0.10283664 0.20989334 0.00573021
1.3767593180 6.8253507044 1.3466845912	-0.06939134 -0.00274418 0.34522197
4.0813637232 9.5617408123 1.3737326329	0.09409110 -0.15379105 -0.15733507
1.3639156549 9.5692298482 4.0864384032	-0.05144698 -0.21330630 0.12385919
4.1022184393 6.8290868614 4.0776848959	-0.27404747 -0.07594328 0.18202150
0.0068823099 5.4671424691 5.4676184793	-0.13100092 -0.10196281 -0.17728890
2.7263595086 8.1875819336 5.4679437394	0.10082987 0.07569557 -0.27064954
0.0055621609 8.1953381581 8.1868975352	0.02187695 -0.23855790 0.01255536
2.7392488391 5.4485697060 8.1962407790	-0.06222320 -0.04261194 -0.22991101
1.3820651063 6.8081783961 6.8127418378	-0.09195921 0.16266775 0.31305049
4.0906899761 9.5632308656 6.8286500689	-0.00244597 -0.20620806 0.06119125
1.3588110207 9.5577150254 9.5638266697	0.09918340 -0.13811584 -0.23286505
4.0844074139 6.8270760675 9.5366561799	0.12618904 0.05715649 0.20683996
5.4529930020 -0.0063760630 0.0035226421	0.04489959 0.16829112 -0.06911748
8.2043571900 2.7220982142 -0.0125196108	-0.18608564 0.08809182 0.08707702
5.4667681518 2.7146444125 2.7425099228	0.06009278 0.21566855 -0.15784738
8.1827370063 -0.0105404052 2.7285882925	0.19912685 0.15790658 0.10428534
6.8372581650 1.3697778313 1.3673277893	-0.11295887 -0.10293515 -0.10634775
9.5494703283 4.0860614744 1.3679170854	0.01148038 0.19034787 -0.06469084
6.8385376457 4.1091981138 4.0779046872	-0.32185594 -0.17761412 0.42104147
9.5651947813 1.3768708102 4.1052819091	-0.30075461 -0.00008464 -0.22246559
5.4464322330 0.0086098901 5.4760725311	0.10599807 -0.12042067 -0.17500159
8.1746645422 2.7298497492 5.4753483329	0.12898962 0.03319622 -0.39125506
5.4526572749 2.7302871683 8.1778448976	0.04385330 -0.21422898 -0.05388332
8.1792219328 0.0138326544 8.1869433368	0.18324670 -0.14287132 -0.06003610
6.8318008374 1.3557743744 6.8084075128	-0.21923011 0.17381502 0.25552521
9.5466061075 4.0884698306 6.8058169033	0.02955312 0.14212065 0.26091208
6.8184253256 4.0839506451 9.5362435100	0.09882553 -0.00749160 0.07188147
9.5588244830 1.3513078556 9.5627276946	0.02458884 0.11285569 -0.21972981
5.4600618809 5.4521013192 -0.0178503967	-0.06814719 0.03960044 0.02575266
8.1971269855 8.1871408924 -0.0073663724	-0.14476936 0.04980504 0.07878197
5.4449337177 8.1934335835 2.7275647212	0.25102654 -0.03974754 -0.14009865
8.1859707462 5.4538881311 2.7418940514	0.16995236 0.15309327 -0.27386745
6.8214910791 6.8056231387 1.3521625642	-0.00009286 0.23278311 0.11151734
9.5631627007 9.5508077855 1.3586965369	-0.15041112 0.05920459 -0.02923323
6.8128367045 9.5581302537 4.1022166481	-0.02161352 -0.09143300 -0.01669846
9.5503187556 6.8315904440 4.0968208667	0.12242582 -0.13300587 -0.08839960
5.4466950150 5.4711690447 5.4676977036	0.16703460 -0.10945063 -0.22031050
8.1832150813 8.1698207860 5.4492774713	-0.12384974 0.17977206 0.17171360
5.4674518933 8.2021826829 8.2033048412	-0.13258357 -0.06228309 -0.21279665
8.1765209891 5.4588588148 8.1781583957	0.22686058 -0.02623929 0.13023855
6.8148640554 6.8208295777 6.8353731407	-0.02326768 0.11062852 -0.10189092
9.5423872167 9.5375899207 6.8282839201	-0.01049528 0.14870732 -0.10577444
6.8285320029 9.5626455157 9.5405626557	0.00540663 -0.02858950 0.28438016
9.5549928031 6.8232371221 9.5667276649	0.06119507 -0.10642718 -0.23438198
-347.06747200
GRP-DC-C-PERTURBED+ISO+SMALL
1.000000
10.9168788928 0.0000000000 0.0000000000 
0.0000000000 10.9168788928 0.0000000000 
0.0000000000 0.0000000000 10.9168788928 
64
carestian or direct (scaled), only the first letter matters
0.0026111426 -0.0048045957 -0.0002510006	-0.02730650 0.04931144 -0.01526587
2.7326635645 2.7333559443 0.0001728876	-0.02250592 -0.06639382 0.01737375
0.0020367263 2.7316144606 2.7278345515	-0.01112817 -0.05210102 0.00496355
2.7335024026 -0.0020244339 2.7325934245	-0.07447713 0.04042958 -0.03654414
1.3658240832 1.3649324727 1.3627222551	0.02651727 -0.01808031 0.02304263
4.0952909599 4.0898729685 1.3678486635	-0.00423358 0.08570384 -0.01323646
1.3682746523 4.0902494759 4.0926132968	-0.04685523 0.08652379 0.00256610
4.0926260738 1.3665285901 4.0946881039	0.06899212 -0.00533268 -0.01508914
0.0003173289 0.0029630114 5.4630617498	-0.01644509 -0.05805472 -0.04780511
2.7252820877 2.7261218423 5.4539883358	0.03711493 0.00412058 0.08651017
0.0045120618 2.7322585845 8.1845767990	-0.04170899 -0.02237095 0.06034556
2.7326617232 -0.0023048417 8.1867565566	-0.03717381 0.04765799 0.04780873
1.3651190335 1.3623407432 6.8257390125	0.02903858 0.02348796 -0.01863194
4.0950998870 4.0893017666 6.8237985334	-0.05961240 0.07069845 -0.06191655
1.3693668320 4.0946362316 9.5546719390	-0.02249161 0.01296541 -0.03788041
4.0953658141 1.3628069247 9.5561016921	0.00244260 0.04992355 -0.05900310
-0.0007578848 5.4589340904 -0.0037346113	0.00736642 -0.01391762 0.03775062
2.7287243535 8.1874124016 -0.0001091898	-0.04022847 0.00045937 0.00826908
-0.0004603030 8.1835594674 2.7274474874	-0.02582873 0.05759987 0.01384839
2.7335173892 5.4631940303 2.7340271234	-0.03749279 -0.05455026 -0.05171312
1.3607163577 6.8232234354 1.3666179211	0.06181319 -0.02883079 -0.03944814
4.0894562094 9.5567033380 1.3601096422	0.07410853 -0.05191153 0.02604644
1.3613601007 9.5502091731 4.0910727554	0.03107385 0.01593218 0.04904703
4.0983388613 6.8218611165 4.0956744719	-0.02069757 0.03402395 -0.00424408
-0.0034704145 5.4598346342 5.4554882323	0.07918043 -0.03867376 0.01200918
2.7335963659 8.1878530341 5.4574591519	-0.05273548 0.01504798 0.01357519
-0.0009086916 8.1852170237 8.1917860138	0.01192993 0.01430891 -0.05535006
2.7321620357 5.4614633635 8.1900523577	-0.04340804 -0.03481893 -0.06886511
1.3614003784 6.8246126173 6.8217110409	0.04750164 -0.02175574 0.00306111
4.0926586106 9.5550991451 6.8272191388	0.05077251 -0.07567759 -0.03028594
1.3651050273 9.5504547625 9.5477631150	0.01506577 -0.00263850 0.03994543
4.0902295042 6.8212228494 9.5546455891	0.10240918 0.01334134 0.01849933
5.4622975643 0.0012806064 -0.0023275425	-0.02940133 -0.02097003 0.04130378
8.1897514828 2.7340311981 -0.0039231876	-0.02784014 -0.11156587 0.09840334
5.4619986506 2.7335385607 2.7274960598	-0.03088986 -0.07573847 0.05279163
8.1838162433 0.0001721141 2.7264562999	0.05875540 -0.01669101 0.07554381
6.8222432187 1.3604867528 1.3694294207	0.03031743 0.10326309 -0.10452405
9.5534605152 4.0929796459 1.3648626472	0.01822795 0.01944455 -0.03689919
6.8254097720 4.0960895666 4.0906088079	0.00740584 -0.02673493 0.04771122
9.5514639389 1.3658671217 4.0943094746	0.01052300 -0.01306241 -0.02329096
5.4566669632 -0.0001480328 5.4625082956	0.00775228 0.03927055 -0.00707569
8.1855237242 2.7261539333 5.4594781266	0.02436155 0.05446586 -0.00701610
5.4567879800 2.7338395433 8.1851383326	0.03808767 -0.10037242 0.05441028
8.1916354437 0.0021353692 8.1908819782	-0.03745541 -0.04220787 -0.03003929
6.8262148776 1.3638217212 6.8260378209	-0.04772782 0.00027616 0.00072963
9.5532476459 4.0972300374 6.8224745960	0.00012372 -0.06596667 -0.03975540
6.8270092492 4.0895828002 9.5521150760	-0.04582498 0.06273777 -0.03086785
9.5497217881 1.3643790000 9.5523999627	0.10677229 0.03359379 0.00964252
5.4625309842 5.4538058067 0.0019674536	-0.03696215 0.02866369 -0.02047233
8.1878999883 8.1856016351 0.0026449207	0.00338109 0.01825628 -0.05801850
5.4565634747 8.1838256765 2.7259399984	-0.00414516 0.11165375 0.03247390
8.1916988765 5.4549066697 2.7290063317	-0.02996712 0.08116815 -0.02407825
6.8211761402 6.8267044163 1.3650602306	0.04905568 -0.09191231 0.01136019
9.5506599200 9.5520020220 1.3652156246	0.01819770 -0.01506657 -0.00002926
6.8215970753 9.5552827885 4.0973643846	-0.02181040 -0.05199330 -0.05407051
9.5556022490 6.8225618003 4.0936954909	-0.05739350 0.00610701 -0.01839826
5.4588150758 5.4579871704 5.4554422418	-0.00158429 -0.04454829 0.03683472
8.1887481379 8.1879414340 5.4572102153	-0.00740804 -0.00271448 0.01842738
5.4624798361 8.1873221078 8.1907342740	-0.07420544 -0.00725471 -0.01189358
8.1888996786 5.4540384173 8.1841453701	-0.04657099 0.05155536 0.01325146
6.8194717233 6.8223673314 6.8205611086	0.05664694 -0.00407233 0.01423834
9.5534225651 9.5498857106 6.8268786304	-0.00566460 0.01899314 -0.02133814
6.8232129248 9.5535680493 9.5518576633	0.05372464 -0.01846329 0.01844742
9.5519360082 6.8206238344 9.5475353803	-0.03947936 0.00345783 0.05281462
-347.17990200
GRP-DC-C-PERTURBED+ISO+SMALL
1.000000
10.9173208091 0.0000000000 0.0000000000 
0.0000000000 10.9173208091 0.0000000000 
0.0000000000 0.0000000000 10.9173208091 
64
carestian or direct (scaled), only the first letter matters
0.0005260812 -0.0033147513 0.0024625432	0.02621499 0.03253941 -0.04534372
2.7256718663 2.7305694134 0.0010403110	0.02692718 0.02317356 -0.01132350
0.0008182931 2.7286985219 2.7309971519	-0.00507875 -0.01808451 -0.01321913
2.7275509270 -0.0014984165 2.7326312670	0.05354392 0.02941520 -0.04172275
1.3663856888 1.3646196617 1.3654054538	-0.03097550 -0.01776893 0.01208392
4.0936724782 4.0967327378 1.3654880501	-0.01428269 -0.02886906 -0.03130462
1.3677837842 4.0899221300 4.0938700568	-0.04865698 0.04477347 0.01166389
4.0979047727 1.3676408158 4.0925626319	-0.03845114 -0.02877045 0.01602194
0.0002896787 0.0021399604 5.4545825718	-0.04555406 -0.01241851 0.07390542
2.7264469802 2.7282798695 5.4586259947	0.04241057 -0.02051070 0.02172402
-0.0010250429 2.7268076581 8.1868810042	0.00805762 0.05624569 -0.00447562
2.7321075242 0.0006365041 8.1913437119	-0.04593626 0.01086502 -0.01969232
1.3617908528 1.3667674021 6.8265240948	0.04302903 -0.06692599 -0.03275823
4.0907590244 4.0924785504 6.8255028391	0.02550554 0.00458056 -0.01439501
